zip,region,dog_patients,dog_enet_predictions,total_popE,median_incomeE,median_ageE,median_rentE,pct_seniors_65p,pct_poverty,pct_bach_plus,pct_renter,pct_white,pct_hispanic,pct_non_english,pct_unemployed
75214,DFW,79,31.062202469092355,34015,115304,37.1,1453,0.11950610024988975,0.056462324016410374,0.6738011269204265,0.43719963631640474,0.7979126855798913,0.17060120535058063,0.14999682680713333,0.03717100566369997
75215,DFW,137,54.30890269099882,18950,39486,35,1111,0.10680738786279684,0.2777896651331978,0.17202819868730249,0.6933115823817292,0.21234828496042216,0.22675461741424802,0.2530351798520526,0.06005907449950771
75216,DFW,428,491.43529828313535,55085,33889,33.5,1079,0.13551783607152582,0.3173291811687122,0.08279181708784597,0.4525458031529612,0.2418262684941454,0.4582917309612417,0.40803477447273007,0.06771153937212936
75217,DFW,1777,1508.0868374492952,87154,49841,27.7,1114,0.07430525277095716,0.2666260825618525,0.05288027836247262,0.41612200435729846,0.4510751084287583,0.7512334488376896,0.6957015000630278,0.039716189322488535
75218,DFW,80,36.76800070571652,21393,104026,41.2,1499,0.17089702239050156,0.05516172949626778,0.5984208253654926,0.35052410901467507,0.7843687187397747,0.2831299957930164,0.23613336003203844,0.015279866993903888
75219,DFW,140,41.20864941405141,24797,86826,33.8,1672,0.10118159454772754,0.09112661205288344,0.6928513052257103,0.6868619348565873,0.6433439528975279,0.19034560632334557,0.2860603572161774,0.03642693826647267
75220,DFW,59,162.64501512156087,40327,56849,31.1,1085,0.07682198031095792,0.20044036329972226,0.2035053554040896,0.6929501698754247,0.4775212636695018,0.6991841694150321,0.7374131944444444,0.05101349826192948
75223,DFW,115,60.52212844804247,13174,66875,35.6,1286,0.10740853195688477,0.14627659574468085,0.23984638659373908,0.5165252344796785,0.5633824199180203,0.6555336268407469,0.6267938747695021,0.07463690155997849
75224,DFW,198,188.86067527376323,35903,50061,32.7,1113,0.1108263933376041,0.18608281068195362,0.14123479044614692,0.4778224083411674,0.4655878338857477,0.6369941230537838,0.5655372000482335,0.06585335491099216
75226,DFW,28,14.930993378270625,5108,67612,32,1590,0.056186374314800315,0.2259653270291568,0.3326923076923077,0.9391866210566324,0.5648003132341425,0.3065779169929522,0.3733018310691081,0.04026475455046884
75227,DFW,1039,467.78148168130105,58315,54743,32.4,1183,0.09256623510246077,0.1635656233788691,0.12356469580119965,0.43006508055051745,0.37340306953613994,0.6242133241876018,0.5661036906207455,0.04384959514918475
75228,DFW,771,431.596394879565,68472,55848,30.8,1144,0.09866806869961445,0.20742197821555444,0.1827544328394462,0.5173855451610233,0.4784437434279706,0.562521906764809,0.5233804072664745,0.056155573084157515
75229,DFW,33,40.799487203401036,32885,117083,37.4,1424,0.11193553291774365,0.08962235373070587,0.47754266211604096,0.3048418108722251,0.6538239318838376,0.38801885358065985,0.4459052851909995,0.051387461459403906
75230,DFW,29,16.04223440152205,26503,109589,47.6,1291,0.2548390748217183,0.05028844694094428,0.6276126279035934,0.3893947509373326,0.7802890238840886,0.11542089574765121,0.17038950715421308,0.020016738736225417
